,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
403,6,3,1.0,,0.0,
404,8,3,,,0.0,
405,6,3,1.0,,0.0,
406,1,3,,,1.0,623.8
407,8,2,,,0.0,
408,2,3,1.0,MA,1.0,472.6
409,1,3,,,1.0,486.4
410,3,1,1.0,,1.0,476.9
411,2,0,1.0,SP,1.0,379.1
412,5,3,3.0,DF,1.0,446.2
413,12,1,,,1.0,687.3
414,4,3,1.0,,1.0,403.7
415,9,3,1.0,,0.0,
416,2,1,1.0,,1.0,652.6
417,3,3,1.0,PA,1.0,644.7
418,6,3,1.0,,0.0,
419,4,1,1.0,,1.0,423.0
420,1,3,,,1.0,411.5
421,5,3,,,1.0,567.4
422,13,2,1.0,,1.0,400.1
423,9,3,1.0,,0.0,
424,3,3,1.0,GO,0.0,
425,2,2,,,1.0,600.9
426,10,2,1.0,,1.0,530.1
427,5,3,,,0.0,
428,2,3,1.0,SP,1.0,497.4
429,8,3,1.0,,1.0,444.0
430,13,3,3.0,,1.0,523.6
431,5,3,1.0,,1.0,532.7
432,16,3,,,1.0,575.7
433,3,3,1.0,,1.0,461.8
434,4,1,1.0,,1.0,446.4
435,12,1,,,1.0,504.7
436,4,1,1.0,RJ,1.0,419.6
437,13,1,,,1.0,557.9
438,2,0,1.0,BA,1.0,741.8
439,16,2,1.0,,1.0,496.8
440,3,2,1.0,RJ,0.0,
441,14,2,,,0.0,
442,7,2,1.0,,1.0,580.2
443,13,3,1.0,,0.0,
444,2,1,1.0,PR,1.0,624.9
445,2,1,1.0,PE,1.0,533.3
446,8,3,1.0,,1.0,506.9
447,12,3,,,1.0,397.3
448,4,3,1.0,,1.0,623.6
449,6,3,1.0,,0.0,
450,2,3,1.0,PI,1.0,535.9
451,4,3,1.0,,1.0,465.8
452,13,3,3.0,,1.0,499.6
453,2,3,1.0,,1.0,462.9
454,7,3,1.0,,1.0,515.7
455,11,2,,,1.0,406.0
456,6,2,1.0,,1.0,555.6
457,10,3,1.0,,1.0,439.1
458,7,3,1.0,,1.0,492.7
459,4,3,,,0.0,
460,10,1,1.0,,1.0,581.3
461,9,3,1.0,,0.0,
462,3,3,1.0,PR,1.0,467.4
463,1,1,,,1.0,715.0
464,3,3,1.0,SP,1.0,505.5
465,4,3,1.0,,0.0,
466,7,0,1.0,,1.0,393.9
467,11,1,1.0,,0.0,
468,4,3,1.0,,0.0,
469,9,3,,,1.0,373.6
470,4,3,1.0,,1.0,700.3
471,11,2,1.0,,1.0,521.4
472,9,3,,,1.0,659.0
473,12,3,3.0,AC,0.0,
474,1,3,,,1.0,396.1
475,5,1,1.0,,1.0,534.0
476,2,3,1.0,SP,1.0,472.4
477,3,2,1.0,MT,0.0,
478,11,3,1.0,,1.0,407.0
479,11,2,,,0.0,
480,4,3,1.0,PE,0.0,
481,3,3,1.0,RN,1.0,537.3
482,2,1,,,1.0,431.2
483,11,3,1.0,,1.0,598.2
484,3,1,1.0,PR,1.0,388.6
485,3,3,2.0,MA,1.0,551.1
486,7,3,1.0,,1.0,469.2
487,3,3,1.0,,1.0,687.6
488,11,0,1.0,,0.0,
489,10,3,3.0,,0.0,
490,3,3,2.0,,1.0,622.1
491,1,3,,,1.0,674.9
492,1,1,,,1.0,623.8
493,11,3,1.0,,1.0,533.0
494,3,0,1.0,MG,1.0,381.7
495,4,1,1.0,,0.0,
496,12,1,,,1.0,518.4
497,2,1,,,1.0,566.5
498,11,1,,,1.0,393.0
499,6,3,1.0,,1.0,476.7
500,16,3,1.0,,0.0,
501,1,1,,,1.0,573.1
502,2,3,1.0,MA,1.0,497.6
503,3,1,,,1.0,649.5
504,11,4,1.0,,0.0,
505,2,3,1.0,AM,1.0,536.4
506,13,3,,,1.0,518.0
507,6,3,,,1.0,449.0
508,5,2,1.0,,1.0,718.8
509,4,1,1.0,PA,0.0,
510,6,3,,,1.0,511.9
511,17,1,3.0,,1.0,436.5
512,10,1,1.0,,0.0,
513,1,4,,,1.0,387.6
514,7,2,,,1.0,495.2
515,12,3,1.0,,0.0,
516,11,0,1.0,,0.0,
517,12,1,1.0,,0.0,
518,6,3,,,1.0,483.6
519,13,3,1.0,,1.0,439.1
520,9,4,,,1.0,504.7
521,9,3,1.0,,0.0,
522,3,3,1.0,SP,0.0,
523,13,1,1.0,,0.0,
524,11,1,,,1.0,496.1
525,10,3,3.0,,0.0,
526,6,3,,,1.0,386.3
527,7,3,,,1.0,707.6
528,8,3,,,0.0,
529,6,1,,,0.0,
530,3,3,1.0,,1.0,381.3
531,3,3,3.0,,1.0,421.2
532,1,1,,,1.0,607.5
533,12,1,1.0,,0.0,
534,3,3,,,1.0,429.2
535,5,3,,,0.0,
536,4,2,1.0,,0.0,
537,2,3,1.0,PB,1.0,826.8
538,11,1,,,0.0,
539,13,2,1.0,,0.0,
540,12,1,1.0,,1.0,452.5
541,11,1,1.0,,1.0,792.0
542,12,3,1.0,,0.0,
543,9,1,1.0,,1.0,529.0
544,2,1,1.0,MA,1.0,389.7
545,3,4,1.0,BA,1.0,613.5
546,2,3,1.0,SP,1.0,530.8
547,4,2,1.0,,1.0,588.7
548,3,3,1.0,,1.0,573.1
549,2,2,1.0,RJ,1.0,415.6
550,4,1,1.0,,0.0,
551,4,1,1.0,,1.0,797.9
552,7,3,1.0,,1.0,518.0
553,6,2,1.0,,1.0,440.4
554,2,2,1.0,SP,1.0,456.4
555,11,3,1.0,,0.0,
556,11,3,,,1.0,400.4
557,2,1,1.0,,1.0,498.8
558,13,1,1.0,,0.0,
559,2,3,1.0,RJ,1.0,439.1
560,10,3,1.0,,1.0,551.8
561,4,0,1.0,,1.0,594.9
562,5,2,1.0,PE,0.0,
563,6,2,1.0,,1.0,727.8
564,14,5,3.0,,0.0,
565,12,3,3.0,,1.0,461.3
566,12,1,,,0.0,
567,3,1,1.0,,1.0,718.3
568,2,1,1.0,RS,1.0,760.1
569,2,2,1.0,PE,1.0,447.5
570,6,3,1.0,,0.0,
571,11,3,3.0,,1.0,463.8
572,13,1,1.0,,1.0,499.0
573,4,3,,,1.0,503.6
574,12,3,,,0.0,
575,3,1,1.0,DF,1.0,553.0
576,2,1,1.0,SP,1.0,500.8
577,7,1,,,1.0,408.2
578,3,1,,,1.0,659.5
579,9,2,,,1.0,595.0
580,9,0,1.0,,1.0,434.5
581,4,2,1.0,,1.0,642.8
582,6,1,1.0,,1.0,726.5
583,2,3,1.0,,1.0,722.1
584,3,2,1.0,GO,1.0,499.8
585,4,1,1.0,,1.0,687.0
586,11,3,,,1.0,621.3
587,3,1,1.0,,0.0,
588,14,3,1.0,,0.0,
589,5,3,3.0,BA,1.0,411.3
590,5,2,1.0,,1.0,550.6
591,4,3,,,1.0,371.2
592,5,1,1.0,,1.0,517.3
593,3,3,1.0,,1.0,477.5
594,2,3,1.0,GO,1.0,501.0
595,2,2,1.0,,1.0,457.6
596,3,3,1.0,,1.0,441.3
597,1,1,,,1.0,683.3
598,13,1,,,0.0,
599,2,2,1.0,PB,1.0,543.4
600,11,2,,,0.0,
601,7,2,1.0,,1.0,468.4
602,13,3,,,0.0,
603,12,3,,,0.0,
604,12,1,1.0,,1.0,539.2
605,11,0,,,0.0,
606,3,1,1.0,,1.0,675.3
607,12,3,1.0,,1.0,425.3
608,3,1,1.0,,1.0,468.7
609,3,1,,,1.0,507.7
610,12,4,,,0.0,
611,8,0,1.0,,0.0,
612,10,1,1.0,,1.0,575.2
613,15,3,3.0,,0.0,
614,3,1,1.0,,1.0,734.5
615,3,3,1.0,,1.0,562.5
616,2,2,1.0,SP,1.0,689.1
617,13,3,1.0,,1.0,455.1
618,6,1,,,1.0,480.6
619,3,1,,,1.0,568.1
620,13,1,3.0,,1.0,376.3
621,7,3,,,1.0,692.1
622,10,1,,,1.0,647.9
623,3,1,,,1.0,815.9
624,2,2,3.0,SP,1.0,468.0
625,4,3,1.0,,1.0,521.7
626,11,1,,,1.0,686.9
627,5,1,1.0,,0.0,
628,2,2,1.0,SP,1.0,457.4
629,1,1,,,1.0,559.8
630,10,3,1.0,,0.0,
631,3,2,1.0,,1.0,615.6
632,7,3,,,1.0,448.2
633,9,3,1.0,,1.0,399.3
634,6,3,1.0,,1.0,722.4
635,12,1,1.0,,0.0,
636,4,3,1.0,,1.0,478.2
637,4,1,1.0,,1.0,462.4
638,14,3,3.0,BA,1.0,435.2
639,8,3,,,1.0,404.2
640,7,1,,,0.0,
641,3,1,1.0,,0.0,
642,3,3,,,0.0,
643,4,3,,,1.0,612.4
644,5,3,1.0,,0.0,
645,3,3,,,1.0,409.9
646,6,3,1.0,,1.0,666.0
647,2,1,1.0,,1.0,597.2
648,3,2,1.0,RJ,1.0,707.6
649,5,1,1.0,,1.0,485.4
650,11,2,1.0,,1.0,455.9
651,7,1,1.0,,1.0,392.3
652,7,3,1.0,,1.0,519.9
653,4,2,,,1.0,544.3
654,11,3,1.0,,1.0,456.8
655,11,3,1.0,,0.0,
656,4,1,1.0,,1.0,399.4
657,5,2,,,1.0,418.0
658,11,3,1.0,,1.0,473.1
659,3,3,1.0,,1.0,538.2
660,4,3,,,1.0,774.4
661,12,3,,,0.0,
662,2,3,1.0,AL,0.0,
663,4,3,,,1.0,570.6
664,6,3,1.0,,1.0,408.3
665,3,2,1.0,BA,0.0,
666,9,3,,,1.0,470.7
667,7,3,,,1.0,627.7
668,9,1,3.0,RS,0.0,
669,6,3,1.0,,1.0,578.8
670,5,1,1.0,,1.0,442.4
671,4,3,1.0,PE,1.0,570.9
672,4,2,1.0,,1.0,401.9
673,5,0,1.0,,1.0,652.2
674,5,3,,,0.0,
675,5,1,,,1.0,602.0
676,6,3,1.0,,1.0,493.2
677,3,3,1.0,,0.0,
678,11,3,1.0,,1.0,424.4
679,3,3,1.0,MA,1.0,622.5
680,3,3,1.0,PE,1.0,416.5
681,2,2,1.0,SP,1.0,472.3
682,5,1,1.0,,1.0,485.9
683,4,3,,,0.0,
684,5,2,,,0.0,
685,5,3,1.0,,1.0,419.8
686,12,2,1.0,,0.0,
687,8,1,,,1.0,445.4
688,1,1,,,1.0,761.5
689,1,1,1.0,,1.0,494.7
690,11,1,1.0,,0.0,
691,11,1,,,0.0,
692,7,1,,,1.0,571.6
693,4,2,1.0,,1.0,660.1
694,11,1,,,1.0,547.0
695,3,3,1.0,MS,1.0,528.4
696,3,3,1.0,,1.0,432.5
697,6,3,1.0,,1.0,511.0
698,9,3,1.0,,0.0,
699,4,2,1.0,,1.0,380.0
700,13,1,,,1.0,686.2
701,13,1,,,0.0,
702,1,1,,,1.0,657.5
703,12,3,1.0,,0.0,
704,3,3,,,1.0,584.1
705,5,3,1.0,,1.0,444.4
706,2,3,1.0,SP,1.0,583.2
707,2,3,1.0,RJ,1.0,515.5
708,12,2,,,1.0,516.4
709,1,1,,,1.0,447.2
710,11,3,1.0,,1.0,470.6
711,8,3,,,1.0,555.1
712,2,1,1.0,RO,1.0,429.6
713,4,1,1.0,,0.0,
714,7,1,,,1.0,569.7
715,7,3,1.0,,1.0,509.5
716,5,3,1.0,,1.0,462.5
717,15,1,2.0,,1.0,468.9
718,14,1,1.0,,1.0,421.6
719,2,3,1.0,SP,1.0,649.2
720,9,3,1.0,,0.0,
721,12,2,,,1.0,436.9
722,12,3,1.0,,0.0,
723,3,3,1.0,SP,1.0,511.7
724,11,1,1.0,,1.0,431.0
725,11,3,,,1.0,695.0
726,13,3,,,1.0,473.7
727,7,1,1.0,,1.0,656.9
728,5,3,3.0,,0.0,
729,3,1,1.0,,1.0,526.2
730,11,3,1.0,,1.0,622.5
731,2,1,1.0,SP,0.0,
732,8,1,1.0,,0.0,
733,8,1,,,1.0,528.7
734,3,1,,,1.0,539.2
735,2,3,1.0,CE,1.0,595.7
736,15,2,1.0,,0.0,
737,11,2,,,0.0,
738,7,3,1.0,,0.0,
739,7,3,3.0,MS,1.0,515.3
740,14,1,,,1.0,501.6
741,11,1,,,0.0,
742,5,3,1.0,,1.0,593.0
743,2,2,1.0,SP,1.0,487.1
744,2,2,1.0,MG,1.0,462.4
745,5,1,1.0,,1.0,573.9
746,7,1,,,0.0,
747,2,1,,,1.0,427.2
748,11,1,,,1.0,517.3
749,8,2,1.0,,1.0,598.9
750,3,3,1.0,,1.0,589.7
751,2,1,1.0,RN,1.0,706.3
752,11,3,3.0,,0.0,
753,5,2,,,1.0,386.4
754,6,3,1.0,,1.0,487.4
755,2,1,1.0,PA,1.0,457.3
756,12,2,,,1.0,497.4
757,8,3,3.0,,1.0,505.3
758,12,2,1.0,,0.0,
759,7,3,1.0,,1.0,482.7
760,3,3,1.0,,1.0,462.7
761,6,3,,,1.0,667.6
762,13,1,1.0,,1.0,497.3
763,4,1,1.0,,1.0,674.9
764,2,1,1.0,SP,1.0,743.8
